title,genres,user_rating,keywords,director,adult,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,Unknown,War,Western
Inside Out 2,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']",0.76,"sadness, disgust, sequel, computer animation, teenage girl, fear, anger, envy, burlesque, aftercreditsstinger, duringcreditsstinger, emotions, embarrasment, joy, anxiety, instructive",Kelsey Mann,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Classified,"['Action', 'Thriller']",0.5900000000000001,"hitman, mi6, long lost daughter, cia agent",Roel Reiné,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Knox Goes Away,"['Crime', 'Thriller', 'Action']",0.6814,"hitman, investigation, dementia, police investigation, father daughter conflict, father son relationship, job gone wrong",Michael Keaton,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
We Live in Time,"['Romance', 'Drama', 'Comedy']",0.76,"marriage, father, romance, love, relationship, family, child, sick mother, love story, moving, modern, sad, heartfelt, romantic, meaningful",John Crowley,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Arcadian,"['Action', 'Horror', 'Thriller', 'Science Fiction']",0.6094,"survival, fear, family, isolated farmhouse, calm, relaxed, post apocalypse, anxiety, science fiction, post-apocalyptic",Benjamin Brewer,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Armor,"['Action', 'Crime', 'Thriller']",0.55,armored truck,Justin Routt,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pimpinero: Blood and Oil,"['Action', 'Crime', 'Drama']",0.6900000000000001,Unknown,Andrés Baiz,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Matka,"['Action', 'Crime']",0.5700000000000001,"bet, casino, crime boss, betting",Karuna Kumar,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunting With Tigers,"['Action', 'Thriller']",0.61,Unknown,Jérémie Guez,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Venom,"['Science Fiction', 'Action']",0.6834,"spacecraft, san francisco, california, superhero, anti hero, alien life-form, based on comic, aftercreditsstinger, duringcreditsstinger, business tycoon, symbiote, genetic experiment, venom",Ruben Fleischer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Moana,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0.0,"friendship, leaving one's family, musical, remake, curse, demigod, polynesia, animal sidekick, live action remake",Thomas Kail,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Azrael,"['Action', 'Horror', 'Thriller']",0.6095,"sacrifice, aggressive, ancient evil, azrael",E.L. Katz,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
The Count of Monte-Cristo,"['Action', 'Adventure', 'Drama', 'History', 'Romance', 'Thriller']",0.82,"based on novel or book, count, revenge, wrongful conviction, angry, cheerful, cruel, demeaning",Alexandre de La Patellière,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
Cash Out,"['Action', 'Thriller']",0.63,"police, gangster, fbi, bank heist, bank job, hostages",Randall Emmett,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Survive,"['Thriller', 'Adventure', 'Action', 'Science Fiction']",0.5879,Unknown,Frédéric Jardin,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Dune: Part Two,"['Science Fiction', 'Adventure']",0.82,"epic, based on novel or book, fight, politics, sandstorm, sand, spice, chosen one, cult, sequel, romance, tragedy, distant future, tragic hero, creature, planet, desert, destiny, giant worm, space opera, sand dune, allegorical, messiah, fall from grace, vengeance, religious allegory, giant creature, power, violence, assertive, exhilarated",Denis Villeneuve,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OVERLORD: The Sacred Kingdom,"['Action', 'Adventure', 'Animation', 'Fantasy']",0.79,"magic, anime, isekai, based on light novel",Naoyuki Ito,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Subservience,"['Science Fiction', 'Thriller', 'Horror']",0.679,"artificial intelligence (a.i.), robot, cliché",SK Dale,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Elevation,"['Action', 'Science Fiction', 'Thriller']",0.6265000000000001,Unknown,George Nolfi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Conclave,"['Mystery', 'Thriller', 'Drama']",0.7000000000000001,"vatican, religion, transsexual, catholic church, lgbt, papal conclave",Edward Berger,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Venom: Let There Be Carnage,"['Science Fiction', 'Action', 'Adventure']",0.6799000000000001,"hero, psychopath, superhero, anti hero, villain, based on comic, sequel, creature, fear, aftercreditsstinger, symbiote, carnage, casual, venom character",Andy Serkis,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
An Almost Christmas Story,"['Animation', 'Adventure', 'Fantasy', 'Family']",0.76,"christmas, owl",David Lowery,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Gladiator,"['Action', 'Drama', 'Adventure']",0.8218000000000001,"epic, gladiator, rome, italy, arena, senate, roman empire, parent child relationship, emperor, slavery, ancient rome, revenge, battlefield, slave auction, historical fiction, ancient world, combat, chariot, philosopher, barbarian horde, 2nd century, successor, complex, commodus, maximus",Ridley Scott,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sing: Thriller,"['Animation', 'Family', 'Comedy', 'Horror']",0.7400000000000001,based on short,Garth Jennings,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Pleasure,['Drama'],0.6200000000000001,"pornography, female friendship, porn star, female protagonist, los angeles, california, porn industry, porn actress, woman director, intimate, disgusted",Ninja Thyberg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Flow,"['Animation', 'Fantasy', 'Adventure']",0.8500000000000001,"ocean, cat, boat, dystopia, dog, golden retriever, flood, bird, 3d animation, fantasy, capybara, adventure, empathetic, exhilarated",Gints Zilbalodis,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Japanese Mom,"['Romance', 'Drama']",0.6179000000000001,softcore,Kim Moo-won,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Sonic the Hedgehog 3,"['Adventure', 'Comedy', 'Family', 'Science Fiction']",0.0,"sequel, based on video game, hedgehog, live action and animation, sonic cinematic universe",Jeff Fowler,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Battle for the Western Front,['War'],0.49000000000000005,Unknown,Aaron Huggett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Canary Black,"['Action', 'Thriller', 'Crime']",0.63,"central intelligence agency (cia), spy thriller",Pierre Morel,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
My Fault,"['Romance', 'Drama']",0.7914,"first time, forbidden love, stepbrother, female protagonist, underage sex, stepsister, disturbed, based on young adult novel, enemies to lovers, passion and romance, car, disapproving, disgusted, step-sibling romance",Domingo González,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Bad Boys: Ride or Die,"['Action', 'Comedy']",0.7491,"miami, florida, sequel, on the run, police detective, buddy cop, buddy comedy, aftercreditsstinger, hilarious, exhilarated",Adil El Arbi,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freedom,"['Action', 'Romance', 'Drama']",0.658,"robber, lovers, heist, infamous, inspired by true events",Mélanie Laurent,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Skin. Like. Sun.,['Romance'],0.66,Unknown,Jennifer Lyon Bell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dominique,"['Action', 'Thriller']",0.7400000000000001,"assassin, escape, police, colombia, action",Michael S. Ojeda,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Soul Eater,"['Thriller', 'Horror', 'Crime']",0.6200000000000001,"based on novel or book, child murder, hitchhiker, demon, sanitorium, local legend, child abduction, mysterious disappearance, missing children",Julien Maury,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Whisper of the Witch,"['Horror', 'Thriller']",0.68,Unknown,Serik Beyseu,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Descendants: The Rise of Red,"['Fantasy', 'Adventure', 'Family', 'Comedy']",0.6900000000000001,"descendant, time travel, musical, spin off, cinderella, wonderland",Jennifer Phang,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Joker: Folie à Deux,"['Drama', 'Crime', 'Thriller']",0.5599999999999999,"asylum, villain, musical, insane asylum, based on comic, sequel, courtroom, mental illness, madness, angry, 1980s, prisoner abuse, dark romance, jukebox musical",Todd Phillips,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
The Platform 2,"['Science Fiction', 'Horror']",0.5611,"capitalism, survival, anarchism, semi-prequel, secret prison, food shortage, social experiment, dystopian sci-fi, social dynamics",Galder Gaztelu-Urrutia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Sidelined: The QB & Me,"['Comedy', 'Romance']",0.58,"high school, based on novel or book, american football player",Justin Wu,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Our Little Secret,"['Romance', 'Comedy', 'Drama']",0.6400000000000001,christmas,Stephen Herek,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Kung Fu Panda 4,"['Animation', 'Family', 'Fantasy', 'Action']",0.7087,"martial arts, kung fu, china, villain, sequel, panda, anthropomorphism, chameleon, female villain, disheartening, pretentious",Mike Mitchell,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Take Cover,"['Action', 'Thriller']",0.6894,"sequel, u.s. navy seal",Nick McKinless,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SpongeBob Squarepants: Kreepaway Kamp,"['TV Movie', 'Family', 'Comedy', 'Horror', 'Animation']",0.7053,Unknown,Ian Vasquez,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Paprika,"['Drama', 'Romance']",0.6976,"prostitute, based on novel or book, self sacrifice, rome, italy, italy, brothel, pimp, marriage, train, prostitution, suburb, softcore, erotic movie",Tinto Brass,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
My Hero Academia: You're Next,"['Animation', 'Action', 'Adventure', 'Science Fiction']",0.68,"based on manga, super power, shounen, anime, teen superhero, based on tv series",Tensai Okamura,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Beetlejuice Beetlejuice,"['Comedy', 'Fantasy', 'Horror']",0.71,"afterlife, haunted house, sequel, paranormal, teenage girl, gothic, death, new england, ghost, horror comedy, unexpected death, mother daughter relationship, mischievous, fantasy, fantasy comedy, comforting, ghoulish, ridiculous",Tim Burton,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
The Crow,"['Action', 'Fantasy', 'Horror']",0.5863,"husband wife relationship, soulmates, superhero, crow, based on comic, remake, revenge, murder, back from the dead, death, true love, awakening, dark romance, re-imagining, gloomy, based on comic strip",Rupert Sanders,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Bagman,"['Horror', 'Thriller']",0.6177,Unknown,Colm McCarthy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
The Garfield Movie,"['Animation', 'Comedy', 'Family', 'Adventure', 'Action']",0.7119,"friendship, cat, villain, based on comic, lasagne, computer animation, based on cartoon, food, dog, female villain, aftercreditsstinger, father son relationship, adaptation, absurd",Mark Dindal,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Transmorphers: Mech Beasts,"['Action', 'Science Fiction']",0.5467,Unknown,Michael Su,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Project Silence,"['Action', 'Thriller', 'Horror', 'Science Fiction']",0.7037,"asia, bridge, disaster, incheon, dogs",Kim Tae-gon,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
How the Grinch Stole Christmas,"['Family', 'Comedy', 'Fantasy']",0.6763,"new love, based on novel or book, holiday, christmas party, village, santa claus, surrealism, thief, public humiliation, christmas, surreal world",Ron Howard,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Rita,['Drama'],0.67,"threesome, lgbt, sexy, bl",Jerry Lopez Sineneng,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of My Mind,['Drama'],0.7315,"based on novel or book, bullying, wheelchair user   , coming of age, teenage girl, middle school, cerebral palsy, fitting in, sixth grader, non-verbal, perserverance",Amber Sealey,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Bad Guys: Haunted Heist,"['Animation', 'Comedy']",0.7157,"amulet, heist, плохие парни dreamworks",Kevin Peaty,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megalopolis,"['Science Fiction', 'Drama']",0.5537,"new year's eve, epic, infidelity, suicide, widow, wedding reception, dystopia, mayor, attempted murder, architect, manipulation, seduction, satellite, utopia, politician, surrealism, riot, time, alcoholism, interracial relationship, disaster, mistress, stroke, uncle nephew relationship, cousin cousin relationship, existentialism, hope for future, assassination attempt, death of wife, after disaster, wealthy family, mother daughter relationship, hopeful, optimistic, tragic",Francis Ford Coppola,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
IF,"['Comedy', 'Fantasy', 'Family']",0.73,"friendship, imaginary friend, aftercreditsstinger, imaginary, live action and animation, imagination, ambiguous, bewildered",John Krasinski,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Watchmen: Chapter II,"['Animation', 'Mystery', 'Science Fiction', 'Action']",0.7000000000000001,"nuclear war, secret identity, retirement, based on comic, conspiracy, alternate history, masked vigilante, doomsday clock, 1980s",Brandon Vietti,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Kingdom of the Planet of the Apes,"['Science Fiction', 'Adventure', 'Action']",0.71,"empire, kingdom, gorilla, dystopia, eagle, sequel, anthropomorphism, distant future, ape, orangutan, evolution, chimpanzee, primate, sign languages, journey, cgi-live action hybrid, post-apocalyptic, evil tyrant",Wes Ball,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Shadow Strays,"['Action', 'Crime', 'Thriller']",0.7398,"mission, martial arts, assassin, gangster, redemption, revenge, gang, female protagonist, female assassin, one man army, aggressive, excited",Timo Tjahjanto,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Canterville Ghost,"['Animation', 'Comedy', 'Family', 'Fantasy']",0.6296,"based on novel or book, halloween, family, ghost, halloween costume, eccentric family, animation, cinema",Kim Burdon,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
BLUE LOCK THE MOVIE -EPISODE NAGI-,"['Animation', 'Action', 'Drama']",0.7325,"based on manga, anime",Shunsuke Ishikawa,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Godzilla x Kong: The New Empire,"['Action', 'Adventure', 'Science Fiction']",0.7142000000000001,"giant monster, sequel, dinosaur, monkey, kaiju, fantasy world, giant ape, langue française, godzilla, king kong, cliché, pretentious",Adam Wingard,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
How to Train Your Dragon,"['Fantasy', 'Adventure', 'Animation', 'Family']",0.7832,"friendship, ship, blacksmith, island, based on novel or book, flying, arena, village, training, ignorance, vikings (norsemen), forest, flight, nest, dragon, battle, combat, well, warrior, pets",Dean DeBlois,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Monster Summer,"['Adventure', 'Fantasy', 'Mystery', 'Horror']",0.65,"friendship, detective, summer",David Henrie,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Don't Move,"['Thriller', 'Horror']",0.6428,"paralysis, absurd, disheartening",Adam Schindler,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Furiosa: A Mad Max Saga,"['Action', 'Science Fiction', 'Adventure']",0.75,"post-apocalyptic future, prequel, spin off, struggle for survival, tyranny, masculinity, grim, revenge murderer, mother daughter relationship, dreary, child abduction, post-apocalyptic, sinister, depressing, callous, disheartening, excited, film in chapters",George Miller,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A Quiet Place: Day One,"['Horror', 'Science Fiction', 'Thriller']",0.68,"monster, escape, cat, alien, prequel, survival, survivalist, fear, spin off, noise, silence, quiet, hopeful, ridiculous",Michael Sarnoski,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Defying Gravity: The Curtain Rises on Wicked,['Documentary'],1.0,"behind the scenes, making of, television special, wicked, wizard of oz, wonderful wizard of oz",Julia Knowles,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migration,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family']",0.7431000000000001,"duck, villain, migration, flight, anthropomorphism, family, animals, chef, overprotective father, illumination, bird, casual",Benjamin Renner,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man: Homecoming,"['Action', 'Adventure', 'Science Fiction', 'Drama']",0.73,"high school, new york city, washington dc, usa, superhero, based on comic, reboot, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), angry",Jon Watts,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Blitz,"['War', 'Drama', 'History']",0.55,"factory, london, england, world war ii, flooding, singer, racism, train, biracial, london blitz, 1940s, mother son relationship, train station",Steve McQueen,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Harry Potter and the Philosopher's Stone,"['Adventure', 'Fantasy']",0.79,"witch, school friend, friendship, london, england, based on novel or book, magic, boarding school, child hero, school of witchcraft, chosen one, school, ghost, fantasy world, wizard, based on young adult novel, owl, wizarding world",Chris Columbus,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Busty Girlfriend,['Romance'],0.7536,"softcore, erotic movie, 大胸女友, 가슴 큰 여자친구, kang min-sik",Junsei,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Inseparables,"['Animation', 'Adventure', 'Comedy', 'Family']",0.6400000000000001,"racoon, computer animation, family, toy, homemade toys, animation",Jérémie Degruson,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fast X,"['Action', 'Crime', 'Thriller']",0.7081000000000001,"sequel, revenge, betrayal, racing, family, cliffhanger, shocking, cars, dramatic, ominous",Louis Leterrier,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
My Old Ass,"['Comedy', 'Drama']",0.6776,"canada, women's sexual identity, time travel, romantic comedy, time, coming of age, magic mushroom, drug trip, lgbt teen, young love, woman director, time paradox, summer cottage, message from the future, lake house, woman centric, non-binary, lesbian, independent film, cranbrook, bisexual woman, teenager, cranberries, lesbian love, gay teenager, mind expansion, meeting your future self, family farm, family cottage",Megan Park,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
It Ends with Us,"['Romance', 'Drama']",0.7242000000000001,"based on novel or book, love triangle, abusive father, trauma, florist, flashback, love, domestic abuse, domestic violence, attempted rape, falling down stairs, unreliable narrator, repressed trauma, abusive relationship, adaptation, romantic drama",Justin Baldoni,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Brothers,"['Action', 'Comedy', 'Crime']",0.6023000000000001,"road trip, twin brother, reformed criminal",Max Barbakow,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culpa Tuya,"['Drama', 'Romance']",0.0,"based on novel or book, sequel",Domingo González,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Hijack 1971,"['Action', 'Thriller', 'Crime']",0.63,"airplane, 1970s, hijacking, airplane hijacking, terrorist bombing, inter-korean relations",Kim Sung-han,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Borderlands,"['Action', 'Science Fiction', 'Comedy']",0.5829,"outlaw, based on video game, unlikely friendship, talking robot, missing girl, band of misfits, mysterious power",Eli Roth,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Last Night at Terrace Lanes,"['Horror', 'Thriller', 'Comedy']",0.55,Unknown,Jamie Nash,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Prey,"['Action', 'Thriller', 'Horror']",0.6314000000000001,"missionary, plane crash, survivors",Mukunda Michael Dewil,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Amityville: Where the Echo Lives,"['Horror', 'Mystery']",0.63,"haunting, paranormal investigation, amityville",Carlos Ayala,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
